Filename,Prize Laureate,Year Awarded,Place of Birth/Place of Foundation,Date of Birth/Date of Foundation,Prize Share
The Nobel Peace Prize Lecture 2013_Organisation for the Prohibition of Chemical Weapons,Organisation for the Prohibition of Chemical Weapons,2013,,1997,1/1
The Nobel Peace Prize Lecture 2014_Kailash Satyarthi,Kailash Satyarthi,2014,India,1954,1/2
The Nobel Peace Prize Lecture 2014_Malala Yousafzai,Malala Yousafzai,2014,Pakistan,1997,1/2
The Nobel Peace Prize Lecture 2015_National Dialogue Quartet,National Dialogue Quartet,2015,Tunisia,2013,1/1
The Nobel Peace Prize Lecture 2016_Juan Manuel Santos,Juan Manuel Santos,2016,Colombia,1951,1/1
The Nobel Peace Prize Lecture 2017_International Campaign to Abolish Nuclear Weapons,International Campaign to Abolish Nuclear Weapons,2017,Australia,2007,1/1
The Nobel Peace Prize Lecture 2018_Denis Mukwege,Denis Mukwege,2018,Democratic Republic of the Congo,1955,1/2
The Nobel Peace Prize Lecture 2018_Nadia Murad,Nadia Murad,2018,Iraq,1993,1/2
The Nobel Peace Prize Lecture 2019_Abiy Ahmed Ali,Abiy Ahmed Ali,2019,Ethiopia,1976,1/1
The Nobel Peace Prize Lecture 2020_World Food Programme,World Food Programme,2020,,1961,1/1
The Nobel Peace Prize Lecture 2021_Dmitry Andreyevich Muratov,Dmitry Andreyevich Muratov,2021,Russia,1961,1/2
The Nobel Peace Prize Lecture 2021_Maria Ressa,Maria Ressa,2021,Philippines,1963,1/2
The Nobel Peace Prize Lecture 2022_Ales Bialiatski,Ales Bialiatski,2022,Russia,1962,1/3
The Nobel Peace Prize Lecture 2022_Center for Civil Liberties,Center for Civil Liberties,2022,Ukraine,2007,1/3
The Nobel Peace Prize Lecture 2022_Memorial,Memorial,2022,Russia,1987,1/3
The Nobel Peace Prize Lecture 2023_Narges Mohammadi,Narges Mohammadi,2023,Iran,1972,1/1
